Product Name,Category,User Ratings
U.S. Polo Assn.   Men GAIMAN 2.O Sneakers,Sneakers,4.3
AfroJack   Men Woven Design Sneakers,Sneakers,3.9
Roadster   Women Slip-On Sneakers,Sneakers,4.3
HIGHLANDER   Men Solid Sneakers,Sneakers,4.2
Roadster   Men Sneakers,Sneakers,3.2
ELIXIR MAN   Men Colourblocked Sneakers,Sneakers,3.4
HRX by Hrithik Roshan   Men Skate Street Sneakers,Sneakers,4
Puma   Unisex Slip-On Sneakers,Sneakers,4.5
Red Tape   Women Woven Design Sneakers,Sneakers,4.5
U.S. Polo Assn.   Men MONTON 4.0 Sneakers,Sneakers,4.5
Harvard   Men Printed Sneakers,Sneakers,3.8
DEAS   Women Colourblocked Sneakers,Sneakers,4
Jack & Jones   Men Woven Design Sneakers,Sneakers,4.3
HRX by Hrithik Roshan   Men Woven Design Sneakers,Sneakers,4.6
Roadster   Women Mid-Top Sneakers,Sneakers,4.5
Kook N Keech   Men Woven Design Sneakers,Sneakers,3.9
